variable,ws,model1,model2,u,p
direction,10,GRU_Att_1,GRU_Att_2,1134184395579.0,0.5353530711530419
direction,10,GRU_Att_1,GRU_Att_3,1140664460502.0,3.252332759709856e-20
direction,10,GRU_Att_1,GRU_Att_4,1142555787332.5,1.0362435246811168e-31
direction,10,GRU_Att_1,GRU_Linear,1158358346693.0,4.771554381295361e-234
direction,10,GRU_Att_1,GRU_Reference,2263416165600.0,0.0
direction,10,GRU_Att_1,GRU_Third,2263416165600.0,0.0
direction,10,GRU_Att_1,GRU_Twice,2263416165600.0,0.0
direction,10,GRU_Att_1,LSTM_Linear,1152492925070.5,9.450973673197575e-137
direction,10,GRU_Att_1,LSTM_Reference,2263416165600.0,0.0
direction,10,GRU_Att_1,LSTM_Third,2263416165600.0,0.0
direction,10,GRU_Att_1,LSTM_Twice,2263416165600.0,0.0
direction,10,GRU_Att_1,RNN_Linear,1152537718539.0,2.14680882215129e-137
direction,10,GRU_Att_1,RNN_Reference,2263416165600.0,0.0
direction,10,GRU_Att_1,RNN_Third,2263416165600.0,0.0
direction,10,GRU_Att_1,RNN_Twice,2263416165600.0,0.0
direction,10,GRU_Att_1,UniTS,1141803130634.0,8.239574458853309e-27
direction,10,GRU_Att_1,actual,1135719080962.5,0.00794734550475791
direction,10,GRU_Att_2,GRU_Att_3,1140341956299.0,1.5949518247922524e-18
direction,10,GRU_Att_2,GRU_Att_4,1142103456065.5,1.026675664153462e-28
direction,10,GRU_Att_2,GRU_Linear,1158520450155.0,4.141362177426878e-237
direction,10,GRU_Att_2,GRU_Reference,2262264981500.0,0.0
direction,10,GRU_Att_2,GRU_Third,2262264981500.0,0.0
direction,10,GRU_Att_2,GRU_Twice,2262264981500.0,0.0
direction,10,GRU_Att_2,LSTM_Linear,1152439188873.5,5.566845572778839e-136
direction,10,GRU_Att_2,LSTM_Reference,2262264981500.0,0.0
direction,10,GRU_Att_2,LSTM_Third,2262264981500.0,0.0
direction,10,GRU_Att_2,LSTM_Twice,2262264981500.0,0.0
direction,10,GRU_Att_2,RNN_Linear,1152568187547.0,7.816986880172293e-138
direction,10,GRU_Att_2,RNN_Reference,2262264981500.0,0.0
direction,10,GRU_Att_2,RNN_Third,2262264981500.0,0.0
direction,10,GRU_Att_2,RNN_Twice,2262264981500.0,0.0
direction,10,GRU_Att_2,UniTS,1141464511526.0,9.553680478918418e-25
direction,10,GRU_Att_2,actual,1135275034887.5,0.0388616539219092
direction,10,GRU_Att_3,GRU_Att_4,1135551492522.5,0.015009216064997047
direction,10,GRU_Att_3,GRU_Linear,1151950447091.5,4.464807987049317e-129
direction,10,GRU_Att_3,GRU_Reference,2258771525500.0,0.0
direction,10,GRU_Att_3,GRU_Third,2258771525500.0,0.0
direction,10,GRU_Att_3,GRU_Twice,2258771525500.0,0.0
direction,10,GRU_Att_3,LSTM_Linear,1145914053285.0,8.323239009814301e-59
direction,10,GRU_Att_3,LSTM_Reference,2258771525500.0,0.0
direction,10,GRU_Att_3,LSTM_Third,2258771525500.0,0.0
direction,10,GRU_Att_3,LSTM_Twice,2258771525500.0,0.0
direction,10,GRU_Att_3,RNN_Linear,1146034404919.0,6.168689367484677e-60
direction,10,GRU_Att_3,RNN_Reference,2258771525500.0,0.0
direction,10,GRU_Att_3,RNN_Third,2258771525500.0,0.0
direction,10,GRU_Att_3,RNN_Twice,2258771525500.0,0.0
direction,10,GRU_Att_3,UniTS,1134853275907.0,0.13193046537877712
direction,10,GRU_Att_3,actual,1128748941755.0,4.52870732245857e-11
direction,10,GRU_Att_4,GRU_Linear,1149048556716.5,7.82986541744447e-92
direction,10,GRU_Att_4,GRU_Reference,2259066662300.0,0.0
direction,10,GRU_Att_4,GRU_Third,2259066662300.0,0.0
direction,10,GRU_Att_4,GRU_Twice,2259066662300.0,0.0
direction,10,GRU_Att_4,LSTM_Linear,1143190168807.0,3.581679229474989e-36
direction,10,GRU_Att_4,LSTM_Reference,2259066662300.0,0.0
direction,10,GRU_Att_4,LSTM_Third,2259066662300.0,0.0
direction,10,GRU_Att_4,LSTM_Twice,2259066662300.0,0.0
direction,10,GRU_Att_4,RNN_Linear,1143161565265.0,5.779301518993244e-36
direction,10,GRU_Att_4,RNN_Reference,2259066662300.0,0.0
direction,10,GRU_Att_4,RNN_Third,2259066662300.0,0.0
direction,10,GRU_Att_4,RNN_Twice,2259066662300.0,0.0
direction,10,GRU_Att_4,UniTS,1132806639335.0,0.22759706655675016
direction,10,GRU_Att_4,actual,1126949362410.0,2.931492359658049e-19
direction,10,GRU_Linear,GRU_Reference,2267433640000.0,0.0
direction,10,GRU_Linear,GRU_Third,2267433640000.0,0.0
direction,10,GRU_Linear,GRU_Twice,2267433640000.0,0.0
direction,10,GRU_Linear,LSTM_Linear,1121360572678.0,2.6618697384724203e-60
direction,10,GRU_Linear,LSTM_Reference,2267433640000.0,0.0
direction,10,GRU_Linear,LSTM_Third,2267433640000.0,0.0
direction,10,GRU_Linear,LSTM_Twice,2267433640000.0,0.0
direction,10,GRU_Linear,RNN_Linear,1123541028164.5,1.805490765705906e-41
direction,10,GRU_Linear,RNN_Reference,2267433640000.0,0.0
direction,10,GRU_Linear,RNN_Third,2267433640000.0,0.0
direction,10,GRU_Linear,RNN_Twice,2267433640000.0,0.0
direction,10,GRU_Linear,UniTS,1116630948340.0,1.4058070010237335e-113
direction,10,GRU_Linear,actual,1110293010025.0,1.0893794711500744e-211
direction,10,GRU_Reference,GRU_Third,1133716820000.0,1.0
