variable,ws,model1,model2,u,p
no abs,10,GRU_Att_1,GRU_Att_2,586.0,1.1773484087410562e-07
no abs,10,GRU_Att_1,GRU_Att_3,557.0,2.1981738319364547e-06
no abs,10,GRU_Att_1,GRU_Att_4,568.0,7.508521207387563e-07
no abs,10,GRU_Att_1,GRU_Linear,204.0,0.03612587577799184
no abs,10,GRU_Att_1,GRU_Reference,223.0,0.08419395035432709
no abs,10,GRU_Att_1,GRU_Third,217.0,0.06528948950848884
no abs,10,GRU_Att_1,GRU_Twice,258.0,0.2947520070546409
no abs,10,GRU_Att_1,LSTM_Linear,162.0,0.0036093469359454364
no abs,10,GRU_Att_1,LSTM_Reference,307.0,0.9227150779556011
no abs,10,GRU_Att_1,LSTM_Third,163.0,0.0038398800013550467
no abs,10,GRU_Att_1,LSTM_Twice,149.0,0.0015633235674326375
no abs,10,GRU_Att_1,RNN_Linear,166.0,0.004613992191848587
no abs,10,GRU_Att_1,RNN_Reference,203.0,0.03443756329229049
no abs,10,GRU_Att_1,RNN_Third,129.0,0.0003841766367465252
no abs,10,GRU_Att_1,RNN_Twice,48.0,3.017472761840763e-07
no abs,10,GRU_Att_1,UniTS,625.0,1.4156562248495535e-09
no abs,10,GRU_Att_2,GRU_Att_3,200.0,0.029771346975723968
no abs,10,GRU_Att_2,GRU_Att_4,111.0,9.620347536626386e-05
no abs,10,GRU_Att_2,GRU_Linear,30.0,4.459812510734023e-08
no abs,10,GRU_Att_2,GRU_Reference,28.0,3.580000423622592e-08
no abs,10,GRU_Att_2,GRU_Third,27.0,3.2057370198655616e-08
no abs,10,GRU_Att_2,GRU_Twice,28.0,3.580000423622592e-08
no abs,10,GRU_Att_2,LSTM_Linear,20.0,1.4648343392642634e-08
no abs,10,GRU_Att_2,LSTM_Reference,35.0,7.67573709030838e-08
no abs,10,GRU_Att_2,LSTM_Third,18.0,1.1672763878400073e-08
no abs,10,GRU_Att_2,LSTM_Twice,15.0,8.280513635549483e-09
no abs,10,GRU_Att_2,RNN_Linear,20.0,1.4648343392642634e-08
no abs,10,GRU_Att_2,RNN_Reference,22.0,1.8355518172726175e-08
no abs,10,GRU_Att_2,RNN_Third,13.0,6.57430581060105e-09
no abs,10,GRU_Att_2,RNN_Twice,6.0,2.89803473430279e-09
no abs,10,GRU_Att_2,UniTS,588.0,9.513272854356268e-08
no abs,10,GRU_Att_3,GRU_Att_4,253.0,0.2523052121646835
no abs,10,GRU_Att_3,GRU_Linear,50.0,3.704514408827082e-07
no abs,10,GRU_Att_3,GRU_Reference,64.0,1.4949706964024405e-06
no abs,10,GRU_Att_3,GRU_Third,54.0,5.559142880976697e-07
no abs,10,GRU_Att_3,GRU_Twice,55.0,6.147258544333025e-07
no abs,10,GRU_Att_3,LSTM_Linear,35.0,7.67573709030838e-08
no abs,10,GRU_Att_3,LSTM_Reference,77.0,5.123412825613384e-06
no abs,10,GRU_Att_3,LSTM_Third,39.0,1.1773484087410562e-07
no abs,10,GRU_Att_3,LSTM_Twice,25.0,2.567677870515197e-08
no abs,10,GRU_Att_3,RNN_Linear,47.0,2.721835438261773e-07
no abs,10,GRU_Att_3,RNN_Reference,38.0,1.0585145063847503e-07
no abs,10,GRU_Att_3,RNN_Third,20.0,1.4648343392642634e-08
no abs,10,GRU_Att_3,RNN_Twice,8.0,3.6689565644207027e-09
no abs,10,GRU_Att_3,UniTS,612.0,6.57430581060105e-09
no abs,10,GRU_Att_4,GRU_Linear,45.0,2.2121962704999195e-07
no abs,10,GRU_Att_4,GRU_Reference,75.0,4.255938526376603e-06
no abs,10,GRU_Att_4,GRU_Third,54.0,5.559142880976697e-07
no abs,10,GRU_Att_4,GRU_Twice,56.0,6.795117843100685e-07
no abs,10,GRU_Att_4,LSTM_Linear,29.0,3.996495287998578e-08
no abs,10,GRU_Att_4,LSTM_Reference,68.0,2.1981738319364547e-06
no abs,10,GRU_Att_4,LSTM_Third,34.0,6.890917196046459e-08
no abs,10,GRU_Att_4,LSTM_Twice,19.0,1.3078583319970845e-08
no abs,10,GRU_Att_4,RNN_Linear,49.0,3.344001695583958e-07
no abs,10,GRU_Att_4,RNN_Reference,24.0,2.2967213940445122e-08
no abs,10,GRU_Att_4,RNN_Third,16.0,9.287995833277978e-09
no abs,10,GRU_Att_4,RNN_Twice,6.0,2.89803473430279e-09
no abs,10,GRU_Att_4,UniTS,625.0,1.4156562248495535e-09
no abs,10,GRU_Linear,GRU_Reference,345.0,0.5346712115320105
no abs,10,GRU_Linear,GRU_Third,331.0,0.7269006560784503
no abs,10,GRU_Linear,GRU_Twice,375.0,0.22898533711961333
no abs,10,GRU_Linear,LSTM_Linear,282.0,0.5605090914385145
no abs,10,GRU_Linear,LSTM_Reference,363.0,0.33197546708273695
no abs,10,GRU_Linear,LSTM_Third,319.0,0.9073219836857066
