model,ws,variable1,variable2,u,p
GRU_Att_1,10,no abs,speed actual dir,625.0,1.4156562248495535e-09
GRU_Att_1,20,no abs,speed actual dir,625.0,1.4156562248495535e-09
GRU_Att_1,2,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_1,30,no abs,speed actual dir,418.0,0.041620062928365585
GRU_Att_1,3,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_1,4,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_1,5,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_2,10,no abs,speed actual dir,146.0,0.0012780072258254092
GRU_Att_2,20,no abs,speed actual dir,451.0,0.007415319687152019
GRU_Att_2,2,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_2,30,no abs,speed actual dir,549.0,4.67042080908701e-06
GRU_Att_2,3,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_2,4,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_2,5,no abs,speed actual dir,25.0,2.567677870515197e-08
GRU_Att_3,10,no abs,speed actual dir,339.0,0.6139282580548475
GRU_Att_3,20,no abs,speed actual dir,430.0,0.02319948731506933
GRU_Att_3,2,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_3,30,no abs,speed actual dir,558.0,1.9972906531952006e-06
GRU_Att_3,3,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_3,4,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_3,5,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_4,10,no abs,speed actual dir,497.0,0.00035681173705910706
GRU_Att_4,20,no abs,speed actual dir,625.0,1.4156562248495535e-09
GRU_Att_4,2,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_4,30,no abs,speed actual dir,574.0,4.1023979776757734e-07
GRU_Att_4,3,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_4,4,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Att_4,5,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Linear,10,no abs,speed actual dir,30.0,4.459812510734023e-08
GRU_Linear,20,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Linear,2,no abs,speed actual dir,286.0,0.6139282580548475
GRU_Linear,30,no abs,speed actual dir,0.0,1.4156562248495535e-09
GRU_Linear,3,no abs,speed actual dir,176.0,0.0083203092261884
GRU_Linear,4,no abs,speed actual dir,148.0,0.0014622778441816793
GRU_Linear,5,no abs,speed actual dir,133.0,0.0005144641657591724
GRU_Reference,10,no abs,speed actual dir,190.0,0.017651350475373032
GRU_Reference,20,no abs,speed actual dir,285.0,0.5994863536067815
GRU_Reference,2,no abs,speed actual dir,50.0,3.6594983828822505e-07
GRU_Reference,30,no abs,speed actual dir,340.0,0.5994863536067815
GRU_Reference,3,no abs,speed actual dir,150.0,0.0016578720917543104
GRU_Reference,4,no abs,speed actual dir,130.0,0.0004063791973664076
GRU_Reference,5,no abs,speed actual dir,135.0,0.0005813406138801308
GRU_Third,10,no abs,speed actual dir,175.0,0.007708092224574141
GRU_Third,20,no abs,speed actual dir,270.0,0.41399508518054173
GRU_Third,2,no abs,speed actual dir,70.0,2.5714409292070104e-06
GRU_Third,30,no abs,speed actual dir,385.0,0.16140210507167563
GRU_Third,3,no abs,speed actual dir,130.0,0.00040428813766603096
GRU_Third,4,no abs,speed actual dir,140.0,0.0008242357383609136
GRU_Third,5,no abs,speed actual dir,195.0,0.022902639176856823
GRU_Twice,10,no abs,speed actual dir,110.0,8.536370588312143e-05
GRU_Twice,20,no abs,speed actual dir,265.0,0.3606478130938998
GRU_Twice,2,no abs,speed actual dir,40.0,1.2609605614934648e-07
GRU_Twice,30,no abs,speed actual dir,410.0,0.05921258797286215
GRU_Twice,3,no abs,speed actual dir,150.0,0.001651877793697862
GRU_Twice,4,no abs,speed actual dir,100.0,3.7636998002136936e-05
GRU_Twice,5,no abs,speed actual dir,195.0,0.022922385698206448
LSTM_Linear,10,no abs,speed actual dir,33.0,6.184081165152868e-08
LSTM_Linear,20,no abs,speed actual dir,0.0,1.4156562248495535e-09
LSTM_Linear,2,no abs,speed actual dir,406.0,0.07115843333450314
LSTM_Linear,30,no abs,speed actual dir,0.0,1.4156562248495535e-09
LSTM_Linear,3,no abs,speed actual dir,353.0,0.4376816780828031
LSTM_Linear,4,no abs,speed actual dir,184.0,0.013007466607958677
LSTM_Linear,5,no abs,speed actual dir,237.0,0.14561009539686695
LSTM_Reference,10,no abs,speed actual dir,200.0,0.029379569781787625
LSTM_Reference,20,no abs,speed actual dir,290.0,0.6687302713588892
LSTM_Reference,2,no abs,speed actual dir,122.0,0.00022503898775315986
LSTM_Reference,30,no abs,speed actual dir,350.0,0.4717495438686705
LSTM_Reference,3,no abs,speed actual dir,195.0,0.023083881081675528
LSTM_Reference,4,no abs,speed actual dir,190.0,0.017788347868779517
LSTM_Reference,5,no abs,speed actual dir,135.0,0.0005833012467884288
LSTM_Third,10,no abs,speed actual dir,205.0,0.03742405652933371
LSTM_Third,20,no abs,speed actual dir,345.0,0.5336872124367453
LSTM_Third,2,no abs,speed actual dir,115.0,0.0001287686400514797
LSTM_Third,30,no abs,speed actual dir,345.0,0.5336872124367453
LSTM_Third,3,no abs,speed actual dir,215.0,0.05933513240966785
LSTM_Third,4,no abs,speed actual dir,265.0,0.3608331264236587
LSTM_Third,5,no abs,speed actual dir,240.0,0.16140210507167563
LSTM_Twice,10,no abs,speed actual dir,270.0,0.41399508518054173
LSTM_Twice,20,no abs,speed actual dir,435.0,0.017651350475373032
LSTM_Twice,2,no abs,speed actual dir,330.0,0.741130627801278
LSTM_Twice,30,no abs,speed actual dir,385.0,0.16140210507167563
LSTM_Twice,3,no abs,speed actual dir,275.0,0.47207002631091244
LSTM_Twice,4,no abs,speed actual dir,220.0,0.07373693788770372
LSTM_Twice,5,no abs,speed actual dir,340.0,0.5995743904354753
RNN_Linear,10,no abs,speed actual dir,20.0,1.4648343392642634e-08
RNN_Linear,20,no abs,speed actual dir,0.0,1.4156562248495535e-09
RNN_Linear,2,no abs,speed actual dir,596.0,3.996495287998578e-08
RNN_Linear,30,no abs,speed actual dir,0.0,1.4156562248495535e-09
RNN_Linear,3,no abs,speed actual dir,419.0,0.03971489002268778
RNN_Linear,4,no abs,speed actual dir,411.0,0.057239261279385514
RNN_Linear,5,no abs,speed actual dir,256.0,0.2772314876173122
RNN_Reference,10,no abs,speed actual dir,215.0,0.05921258797286215
RNN_Reference,20,no abs,speed actual dir,265.0,0.3606478130938998
RNN_Reference,2,no abs,speed actual dir,470.0,0.0022986147530203276
RNN_Reference,30,no abs,speed actual dir,360.0,0.3606478130938998
RNN_Reference,3,no abs,speed actual dir,465.0,0.003153613853812898
RNN_Reference,4,no abs,speed actual dir,230.0,0.11087954842120798
RNN_Reference,5,no abs,speed actual dir,245.0,0.19263991169782846
RNN_Third,10,no abs,speed actual dir,215.0,0.05921258797286215
RNN_Third,20,no abs,speed actual dir,425.0,0.029379569781787625
RNN_Third,2,no abs,speed actual dir,385.0,0.16156385987136068
RNN_Third,30,no abs,speed actual dir,405.0,0.07355628373185158
RNN_Third,3,no abs,speed actual dir,240.0,0.1616649236640617
RNN_Third,4,no abs,speed actual dir,245.0,0.19263991169782846
RNN_Third,5,no abs,speed actual dir,200.0,0.029418673798615267
RNN_Twice,10,no abs,speed actual dir,470.0,0.0022612252969267223
RNN_Twice,20,no abs,speed actual dir,385.0,0.16140210507167563
