Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS,actual
GRU_Att_1,1.0,1087274950898.5,1092389857778.0,1091081789654.5,1109870613822.5,2175184650250.0,2175184650250.0,2175184650250.0,1106343947271.0,2175184650250.0,2175184650250.0,2175184650250.0,1115950516826.0,2175184650250.0,2175184650250.0,2175184650250.0,1096779128094.0,1087425119885.0
GRU_Att_2,1087274950898.5,1.0,1094827989748.0,1093191027134.0,1113354058677.5,2175279120650.0,2175279120650.0,2175279120650.0,1109885586792.5,2175279120650.0,2175279120650.0,2175279120650.0,1119418006292.0,2175279120650.0,2175279120650.0,2175279120650.0,1099679657198.0,1089865324310.0
GRU_Att_3,1092389857778.0,1094827989748.0,1.0,1088052494082.5,1108654696192.5,2173859850500.0,2173859850500.0,2173859850500.0,1104941767814.0,2173859850500.0,2173859850500.0,2173859850500.0,1114712172381.0,2173859850500.0,2173859850500.0,2173859850500.0,1094350815515.0,1084525190492.5
GRU_Att_4,1091081789654.5,1093191027134.0,1088052494082.5,1.0,1107920937661.5,2174604542950.0,2174604542950.0,2174604542950.0,1104412924034.5,2174604542950.0,2174604542950.0,2174604542950.0,1113833109858.5,2174604542950.0,2174604542950.0,2174604542950.0,1095036604815.0,1085793518422.5
GRU_Linear,1109870613822.5,1113354058677.5,1108654696192.5,1107920937661.5,1.0,2178871210000.0,2178871210000.0,2178871210000.0,1076818293502.0,2178871210000.0,2178871210000.0,2178871210000.0,1105280164822.5,2178871210000.0,2178871210000.0,2178871210000.0,1074893617757.0,1065074128232.5
GRU_Reference,2175184650250.0,2175279120650.0,2173859850500.0,2174604542950.0,2178871210000.0,1.0,1089435605000.0,1089435605000.0,0.0,1089435605000.0,1089435605000.0,1089435605000.0,0.0,1089435605000.0,1089435605000.0,1089435605000.0,0.0,9391686250.0
GRU_Third,2175184650250.0,2175279120650.0,2173859850500.0,2174604542950.0,2178871210000.0,1089435605000.0,1.0,1089435605000.0,0.0,1089435605000.0,1089435605000.0,1089435605000.0,0.0,1089435605000.0,1089435605000.0,1089435605000.0,0.0,9391686250.0
GRU_Twice,2175184650250.0,2175279120650.0,2173859850500.0,2174604542950.0,2178871210000.0,1089435605000.0,1089435605000.0,1.0,0.0,1089435605000.0,1089435605000.0,1089435605000.0,0.0,1089435605000.0,1089435605000.0,1089435605000.0,0.0,9391686250.0
LSTM_Linear,1106343947271.0,1109885586792.5,1104941767814.0,1104412924034.5,1076818293502.0,0.0,0.0,0.0,1.0,2178871210000.0,2178871210000.0,2178871210000.0,1115026578939.0,2178871210000.0,2178871210000.0,2178871210000.0,1080531141626.0,1069156623112.5
LSTM_Reference,2175184650250.0,2175279120650.0,2173859850500.0,2174604542950.0,2178871210000.0,1089435605000.0,1089435605000.0,1089435605000.0,2178871210000.0,1.0,1089435605000.0,1089435605000.0,0.0,1089435605000.0,1089435605000.0,1089435605000.0,0.0,9391686250.0
LSTM_Third,2175184650250.0,2175279120650.0,2173859850500.0,2174604542950.0,2178871210000.0,1089435605000.0,1089435605000.0,1089435605000.0,2178871210000.0,1089435605000.0,1.0,1089435605000.0,0.0,1089435605000.0,1089435605000.0,1089435605000.0,0.0,9391686250.0
LSTM_Twice,2175184650250.0,2175279120650.0,2173859850500.0,2174604542950.0,2178871210000.0,1089435605000.0,1089435605000.0,1089435605000.0,2178871210000.0,1089435605000.0,1089435605000.0,1.0,0.0,1089435605000.0,1089435605000.0,1089435605000.0,0.0,9391686250.0
RNN_Linear,1115950516826.0,1119418006292.0,1114712172381.0,1113833109858.5,1105280164822.5,0.0,0.0,0.0,1115026578939.0,0.0,0.0,0.0,1.0,2178871210000.0,2178871210000.0,2178871210000.0,1069293672756.0,1059108874125.0
RNN_Reference,2175184650250.0,2175279120650.0,2173859850500.0,2174604542950.0,2178871210000.0,1089435605000.0,1089435605000.0,1089435605000.0,2178871210000.0,1089435605000.0,1089435605000.0,1089435605000.0,2178871210000.0,1.0,1089435605000.0,1089435605000.0,0.0,9391686250.0
RNN_Third,2175184650250.0,2175279120650.0,2173859850500.0,2174604542950.0,2178871210000.0,1089435605000.0,1089435605000.0,1089435605000.0,2178871210000.0,1089435605000.0,1089435605000.0,1089435605000.0,2178871210000.0,1089435605000.0,1.0,1089435605000.0,0.0,9391686250.0
RNN_Twice,2175184650250.0,2175279120650.0,2173859850500.0,2174604542950.0,2178871210000.0,1089435605000.0,1089435605000.0,1089435605000.0,2178871210000.0,1089435605000.0,1089435605000.0,1089435605000.0,2178871210000.0,1089435605000.0,1089435605000.0,1.0,0.0,9391686250.0
UniTS,1096779128094.0,1099679657198.0,1094350815515.0,1095036604815.0,1074893617757.0,0.0,0.0,0.0,1080531141626.0,0.0,0.0,0.0,1069293672756.0,0.0,0.0,0.0,1.0,1079518909705.0
actual,1087425119885.0,1089865324310.0,1084525190492.5,1085793518422.5,1065074128232.5,9391686250.0,9391686250.0,9391686250.0,1069156623112.5,9391686250.0,9391686250.0,9391686250.0,1059108874125.0,9391686250.0,9391686250.0,9391686250.0,1079518909705.0,1.0
