Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS,actual
GRU_Att_1,1.0,1165074913088.5,1163503475937.5,1164346350555.0,1151965477980.5,1220738846252.0,1182077274996.0,1179680540905.0,1212094209861.0,1223435384972.0,1206769522767.5,1168716805540.5,1172575475778.5,1103577280799.0,1191807377892.5,1264991362884.0,1166978317352.0,1164497999910.0
GRU_Att_2,1165074913088.5,1.0,1163603045005.0,1164350739250.0,1151944196007.0,1220505153530.0,1181956669630.5,1179563134345.0,1211857129312.0,1223185024422.5,1206550713899.0,1169184840649.5,1172293854449.0,1103426190886.0,1191611003039.5,1264810547780.5,1166936535360.0,1164507311225.0
GRU_Att_3,1163503475937.5,1163603045005.0,1.0,1165878551956.5,1153429031590.5,1221866932701.0,1183390089271.0,1181019233200.5,1213243672776.5,1224528719949.5,1207921659144.5,1170519876655.5,1173803274705.5,1104894253189.5,1193023485685.5,1265861451226.0,1168279005516.0,1165755117657.5
GRU_Att_4,1164346350555.0,1164350739250.0,1165878551956.5,1.0,1152731108358.0,1221253672861.0,1182740292304.5,1180343184076.5,1212666713670.0,1223943401188.5,1207349570618.5,1169212615639.0,1173341972633.5,1104532270610.0,1192391964761.0,1265429421950.0,1167688124599.0,1165139046217.5
GRU_Linear,1151965477980.5,1151944196007.0,1153429031590.5,1152731108358.0,1.0,1234491752895.5,1195282257906.5,1192803309376.0,1225609787711.0,1237037017853.5,1220196499990.5,1179336610079.5,1185640291769.5,1114491782870.5,1205120070751.0,1277746987762.5,1179006009058.0,1177289771030.0
GRU_Reference,1220738846252.0,1220505153530.0,1221866932701.0,1221253672861.0,1234491752895.5,1.0,1125774134193.5,1122221851730.0,1157959013384.0,1167997657003.0,1152106474728.0,1084050021100.5,1123572738289.5,1048849271548.5,1136729715016.5,1221350549737.0,1110710173501.0,1109220522232.5
GRU_Third,1182077274996.0,1181956669630.5,1183390089271.0,1182740292304.5,1195282257906.5,1125774134193.5,1.0,1162109611674.5,1196103167144.0,1206987646964.5,1190512298896.0,1138926066495.0,1158098881081.5,1085462292737.0,1175262583465.5,1253104748947.0,1149142079497.0,1147471904962.5
GRU_Twice,1179680540905.0,1179563134345.0,1181019233200.5,1180343184076.5,1192803309376.0,1122221851730.0,1162109611674.5,1.0,1199446959906.5,1210545469877.5,1193800997303.5,1141278409334.5,1161225192317.0,1087499650390.5,1178379210142.5,1256322390414.5,1151571302939.0,1149925189692.5
LSTM_Linear,1212094209861.0,1211857129312.0,1213243672776.5,1212666713670.0,1225609787711.0,1157959013384.0,1196103167144.0,1199446959906.5,1.0,1174974958190.5,1159356077085.5,1098708643500.0,1129537414932.0,1057601760302.5,1144265950860.5,1226556915556.5,1119289769608.0,1117656157125.0
LSTM_Reference,1223435384972.0,1223185024422.5,1224528719949.5,1223943401188.5,1237037017853.5,1167997657003.0,1206987646964.5,1210545469877.5,1174974958190.5,1.0,1149246712529.5,1081593533141.5,1120642375627.0,1046466679912.0,1133917807448.5,1218690951295.5,1108191033311.0,1106522239922.5
