Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS,actual
GRU_Att_1,1.0,1.578575763017296e-62,2.317597514105111e-46,4.773768755215626e-109,8.666920161323064e-06,0.0225603313564737,2.795136395745268e-91,8.533469449674136e-16,0.0,1.9825928076431086e-14,9.073230091956384e-74,1.563600120132577e-11,3.5613627746453866e-212,0.0,0.1326748927852549,0.0,1.7400556247611004e-40,7.053010274300741e-74
GRU_Att_2,1.578575763017296e-62,1.0,0.0547555823851616,6.260988870899755e-07,5.778014318081783e-73,2.250661917174707e-56,0.0002680035936569,2.5140959301135697e-102,6.070280804091771e-202,1.9528417235696443e-14,0.1454806698123063,9.473650771162424e-17,1.1763225998048842e-37,0.0,1.191324318844931e-37,0.0,0.0463322545789289,0.0367532247184881
GRU_Att_3,2.317597514105111e-46,0.0547555823851616,1.0,6.383820582888781e-29,1.2872041323819266e-66,9.800871808814802e-56,1.225239423579038e-06,1.6088855823652974e-96,2.406247321839137e-209,2.0311406891662788e-12,0.0094826070585462,9.376913088521872e-15,4.0886319551493616e-43,0.0,1.473838619974605e-33,0.0,0.540012641455002,1.337425264578139e-05
GRU_Att_4,4.773768755215626e-109,6.260988870899755e-07,6.383820582888781e-29,1.0,3.789097034576233e-94,4.469037124438593e-74,0.233156348517026,3.1505048114791475e-128,1.5460389339039495e-189,7.140253541325254e-24,0.6210059336852343,2.0312536103888092e-26,1.5343203072703855e-28,0.0,3.307443312176828e-52,0.0,4.178626136338944e-09,0.105432405513181
GRU_Linear,8.666920161323064e-06,5.778014318081783e-73,1.2872041323819266e-66,3.789097034576233e-94,1.0,2.4049444497166708e-05,2.0250032945302159e-112,0.0029057897584256,0.0,4.093259521416715e-33,1.921648583012174e-92,2.012586341179203e-29,6.520521900535257e-237,0.0,8.423295747625781e-10,0.0,2.873824932466333e-40,1.0688684145907857e-65
GRU_Reference,0.0225603313564737,2.250661917174707e-56,9.800871808814802e-56,4.469037124438593e-74,2.4049444497166708e-05,1.0,1.1359455200264644e-80,1.603841573069977e-13,0.0,7.51156337966011e-16,6.801791091790112e-62,3.553331084300113e-13,2.373750799332909e-189,0.0,0.0539957296232414,0.0,4.3092882601124315e-25,4.2796486587936414e-47
GRU_Third,2.795136395745268e-91,0.0002680035936569,1.225239423579038e-06,0.233156348517026,2.0250032945302159e-112,1.1359455200264644e-80,1.0,7.012282391760958e-148,6.801370625581585e-182,2.2613491516094477e-28,0.0212666347591793,6.337176081797146e-32,7.034699957891926e-23,0.0,1.117567756829565e-63,0.0,2.601473832247637e-15,0.0002885837972024
GRU_Twice,8.533469449674136e-16,2.5140959301135697e-102,1.6088855823652974e-96,3.1505048114791475e-128,0.0029057897584256,1.603841573069977e-13,7.012282391760958e-148,1.0,0.0,1.2799193699209877e-52,5.2169522344925726e-124,1.1052231286427474e-47,8.348255755064223e-290,0.0,2.3342073525647696e-20,0.0,1.9495623521894556e-60,5.256844031683289e-91
LSTM_Linear,0.0,6.070280804091771e-202,2.406247321839137e-209,1.5460389339039495e-189,0.0,0.0,6.801370625581585e-182,0.0,1.0,0.0,7.737550652969047e-217,0.0,3.77251177344012e-84,6.596332348545451e-36,0.0,0.0,2.030876318575812e-265,3.0654800740442082e-195
LSTM_Reference,1.9825928076431086e-14,1.9528417235696443e-14,2.0311406891662788e-12,7.140253541325254e-24,4.093259521416715e-33,7.51156337966011e-16,2.2613491516094477e-28,1.2799193699209877e-52,0.0,1.0,5.827011835064337e-18,0.4478384366855427,2.704517502763595e-99,0.0,1.48654361193991e-09,0.0,0.0070080776146474,5.869122531331203e-12
LSTM_Third,9.073230091956384e-74,0.1454806698123063,0.0094826070585462,0.6210059336852343,1.921648583012174e-92,6.801791091790112e-62,0.0212666347591793,5.2169522344925726e-124,7.737550652969047e-217,5.827011835064337e-18,1.0,8.124760490912586e-21,7.076145421242808e-35,0.0,3.8611468745246096e-48,0.0,2.437731553916925e-09,0.0900685542449546
LSTM_Twice,1.563600120132577e-11,9.473650771162424e-17,9.376913088521872e-15,2.0312536103888092e-26,2.012586341179203e-29,3.553331084300113e-13,6.337176081797146e-32,1.1052231286427474e-47,0.0,0.4478384366855427,8.124760490912586e-21,1.0,3.059216298587801e-106,0.0,1.2196485436312156e-07,0.0,0.0010746929022912,1.0155565462226531e-13
