Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS,actual
GRU_Att_1,1.0,1157720043796.5,1110864533114.0,1147968021593.0,1437681437736.5,1155813475127.0,1131436001109.5,1072159672046.0,1097200556342.5,1101017152454.0,1254737268170.0,1123524924940.5,1319476407099.5,1294834067122.0,1255896333772.5,1343809307501.5,1205762465311.0,1186100760120.0
GRU_Att_2,1157720043796.5,1.0,1004772354754.5,1028469635986.0,1292223222080.5,1034987223648.0,1013396836072.0,960825056987.0,975961360123.0,982337790267.5,1121748712012.5,1011935448473.5,1179439073849.0,1152676382847.0,1120664252349.5,1195034345453.0,1080481402727.0,1064772637277.5
GRU_Att_3,1110864533114.0,1004772354754.5,1.0,1073735814624.5,1334623213884.5,1080931024394.0,1059213675586.0,1006583803996.5,1023081200351.0,1028934669263.5,1166187185070.5,1056641310575.0,1223388028600.5,1196976179085.0,1164122012683.0,1238839482416.0,1124767866291.0,1108761708002.5
GRU_Att_4,1147968021593.0,1028469635986.0,1073735814624.5,1.0,1337284231359.0,1055107767752.0,1032002286945.5,974734520580.5,992657010859.0,999056506707.5,1152772600895.5,1030358962422.0,1216918394306.0,1189765764951.0,1155947198603.0,1237532904526.5,1106120200713.0,1088848801832.5
GRU_Linear,1437681437736.5,1292223222080.5,1334623213884.5,1337284231359.0,1.0,763452113146.0,743800728799.5,692881815788.0,691180746591.0,704168431637.0,858624806867.5,757158718535.5,920869108010.0,887267987952.5,867390837284.0,932199350639.0,815021903193.0,805838851912.5
GRU_Reference,1155813475127.0,1034987223648.0,1080931024394.0,1055107767752.0,763452113146.0,1.0,1024724682698.5,967655856615.5,984973577983.5,991441244812.5,1146374997909.0,1022755956588.5,1210840452580.5,1183537941017.5,1150257078494.0,1231718651429.0,1097717520448.0,1081609504242.5
GRU_Third,1131436001109.5,1013396836072.0,1059213675586.0,1032002286945.5,743800728799.5,1024724682698.5,1.0,990844385522.0,1009003957383.0,1015021437390.0,1168061830928.5,1045274386929.5,1231720805518.5,1204788733486.0,1170944186170.0,1252422074850.5,1119957339609.0,1103565086840.0
GRU_Twice,1072159672046.0,960825056987.0,1006583803996.5,974734520580.5,692881815788.0,967655856615.5,990844385522.0,1.0,1068975676824.0,1073150828637.0,1223393927157.0,1100459354418.0,1285433513822.0,1260566983189.5,1224670091274.5,1307353499968.0,1176969562567.0,1159636724712.5
LSTM_Linear,1097200556342.5,975961360123.0,1023081200351.0,992657010859.0,691180746591.0,984973577983.5,1009003957383.0,1068975676824.0,1.0,1053028654658.0,1213811525683.5,1083016174432.0,1280749677179.5,1254473640069.0,1218548667981.5,1304992326666.0,1163426307832.0,1145616023620.0
LSTM_Reference,1101017152454.0,982337790267.5,1028934669263.5,999056506707.5,704168431637.0,991441244812.5,1015021437390.0,1073150828637.0,1053028654658.0,1.0,1204915179639.0,1077616201773.0,1270247844317.5,1244269707172.0,1209511144734.0,1293700249698.5,1154775080003.0,1137928255292.5
LSTM_Third,1254737268170.0,1121748712012.5,1166187185070.5,1152772600895.5,858624806867.5,1146374997909.0,1168061830928.5,1223393927157.0,1213811525683.5,1204915179639.0,1.0,933076515032.5,1111927228312.5,1082214528942.0,1054452947797.0,1129478983344.0,1001963913571.0,988431078535.0
LSTM_Twice,1123524924940.5,1011935448473.5,1056641310575.0,1030358962422.0,757158718535.5,1022755956588.5,1045274386929.5,1100459354418.0,1083016174432.0,1077616201773.0,933076515032.5,1.0,1221773373656.0,1195157523928.0,1160809471566.5,1238634257341.5,1119829959457.0,1103984056487.5
RNN_Linear,1319476407099.5,1179439073849.0,1223388028600.5,1216918394306.0,920869108010.0,1210840452580.5,1231720805518.5,1285433513822.0,1280749677179.5,1270247844317.5,1111927228312.5,1221773373656.0,1.0,1016575094076.5,992708242287.5,1063688866207.0,937368227044.0,926063745350.0
RNN_Reference,1294834067122.0,1152676382847.0,1196976179085.0,1189765764951.0,887267987952.5,1183537941017.5,1204788733486.0,1260566983189.5,1254473640069.0,1244269707172.0,1082214528942.0,1195157523928.0,1016575094076.5,1.0,1022612677320.5,1095917532357.5,967474708245.0,955039562212.5
RNN_Third,1255896333772.5,1120664252349.5,1164122012683.0,1155947198603.0,867390837284.0,1150257078494.0,1170944186170.0,1224670091274.5,1218548667981.5,1209511144734.0,1054452947797.0,1160809471566.5,992708242287.5,1022612677320.5,1.0,1118174735697.5,998538432053.0,986616842852.5
RNN_Twice,1343809307501.5,1195034345453.0,1238839482416.0,1237532904526.5,932199350639.0,1231718651429.0,1252422074850.5,1307353499968.0,1304992326666.0,1293700249698.5,1129478983344.0,1238634257341.5,1063688866207.0,1095917532357.5,1118174735697.5,1.0,920728974975.0,909746289905.0
UniTS,1205762465311.0,1080481402727.0,1124767866291.0,1106120200713.0,815021903193.0,1097717520448.0,1119957339609.0,1176969562567.0,1163426307832.0,1154775080003.0,1001963913571.0,1119829959457.0,937368227044.0,967474708245.0,998538432053.0,920728974975.0,1.0,1031830223255.0
actual,1186100760120.0,1064772637277.5,1108761708002.5,1088848801832.5,805838851912.5,1081609504242.5,1103565086840.0,1159636724712.5,1145616023620.0,1137928255292.5,988431078535.0,1103984056487.5,926063745350.0,955039562212.5,986616842852.5,909746289905.0,1031830223255.0,1.0
