Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS,actual
GRU_Att_1,1.0,1163290286707.0,1161877639975.5,1159885513729.0,1108151721323.5,2294386904450.0,2294386890920.0,2294386898300.0,1109383095190.5,2294386919210.0,2294386893380.0,2294386893380.0,1112670774455.0,2294386893380.0,2294386890920.0,2294386886000.0,1138780911915.0,1136389156055.0
GRU_Att_2,1163290286707.0,1.0,1158031329295.0,1156237832042.5,1103857076968.5,2295008229875.0,2295008211428.0,2295008221490.0,1105011988308.0,2295008249999.0,2295008214782.0,2295008214782.0,1108308060687.5,2295008214782.0,2295008211428.0,2295008204720.0,1134618677158.0,1132320259295.0
GRU_Att_3,1161877639975.5,1158031329295.0,1.0,1157691907165.5,1105454468718.0,2295835125935.0,2295835111932.0,2295835119570.0,1106592435874.0,2295835141211.0,2295835114478.0,2295835114478.0,1109901197891.0,2295835114478.0,2295835111932.0,2295835106840.0,1135985660066.0,1133695391327.5
GRU_Att_4,1159885513729.0,1156237832042.5,1157691907165.5,1.0,1107956832815.5,2294985373325.0,2294985365108.0,2294985369590.0,1109098340474.5,2294985382289.0,2294985366602.0,2294985366602.0,1112421644278.5,2294985366602.0,2294985365108.0,2294985362120.0,1138618442133.0,1136199217905.0
GRU_Linear,1108151721323.5,1103857076968.5,1105454468718.0,1107956832815.5,1.0,2308439654389.0,2308439653540.0,2308439653557.5,1160810950059.5,2308439660173.0,2308439660797.0,2308439653577.0,1164092730996.5,2308439653992.0,2308439653551.5,2308439653520.0,1181395503651.0,1185808507192.5
GRU_Reference,2294386904450.0,2295008229875.0,2295835125935.0,2294985373325.0,2308439654389.0,1.0,1159512457176.0,1159517025657.5,7517498807.5,1159529969865.5,1159513980039.0,1159513980010.0,0.0,1159513980026.0,1159512457178.0,1159509411500.0,28676592541.0,31031605012.5
GRU_Third,2294386890920.0,2295008211428.0,2295835111932.0,2294985365108.0,2308439653540.0,1159512457176.0,1.0,1159525401308.0,7517499646.0,1159538345478.0,1159522355644.0,1159522355644.0,0.0,1159522355644.0,1159520832808.0,1159517787120.0,28676600016.0,31031654210.0
GRU_Twice,2294386898300.0,2295008221490.0,2295835119570.0,2294985369590.0,2308439653557.5,1159517025657.5,1159525401308.0,1.0,7517499615.0,1159533777031.5,1159517787138.0,1159517787137.5,0.0,1159517787138.0,1159516264293.0,1159513218600.0,28676599572.0,31031627375.0
LSTM_Linear,1109383095190.5,1105011988308.0,1106592435874.0,1109098340474.5,1160810950059.5,7517498807.5,7517499646.0,7517499615.0,1.0,2311524171676.5,2311524172197.0,2311524165991.0,1162820870940.0,2311524166402.5,2311524165964.0,2311524165940.0,1180068079740.0,1184443279157.5
LSTM_Reference,2294386919210.0,2295008249999.0,2295835141211.0,2294985382289.0,2308439660173.0,1159529969865.5,1159538345478.0,1159533777031.5,2311524171676.5,1.0,1159504843006.0,1159504842962.0,0.0,1159504842979.0,1159503320131.5,1159500274460.0,28676577696.0,31031551342.5
LSTM_Third,2294386893380.0,2295008214782.0,2295835114478.0,2294985366602.0,2308439660797.0,1159513980039.0,1159522355644.0,1159517787138.0,2311524172197.0,1159504843006.0,1.0,1159520832793.0,0.0,1159520832792.0,1159519309956.0,1159516264280.0,28676586940.0,31031645265.0
LSTM_Twice,2294386893380.0,2295008214782.0,2295835114478.0,2294985366602.0,2308439653577.0,1159513980010.0,1159522355644.0,1159517787137.5,2311524165991.0,1159504842962.0,1159520832793.0,1.0,0.0,1159520832807.0,1159519309957.5,1159516264280.0,28676599229.0,31031645265.0
RNN_Linear,1112670774455.0,1108308060687.5,1109901197891.0,1112421644278.5,1164092730996.5,0.0,0.0,0.0,1162820870940.0,0.0,0.0,0.0,1.0,2319041665600.0,2319041665600.0,2319041665600.0,1176961685369.0,1181257951512.5
RNN_Reference,2294386893380.0,2295008214782.0,2295835114478.0,2294985366602.0,2308439653992.0,1159513980026.0,1159522355644.0,1159517787138.0,2311524166402.5,1159504842979.0,1159520832792.0,1159520832807.0,2319041665600.0,1.0,1159519309956.0,1159516264280.0,28676596413.0,31031645265.0
RNN_Third,2294386890920.0,2295008211428.0,2295835111932.0,2294985365108.0,2308439653551.5,1159512457178.0,1159520832808.0,1159516264293.0,2311524165964.0,1159503320131.5,1159519309956.0,1159519309957.5,2319041665600.0,1159519309956.0,1.0,1159517787120.0,28676599938.0,31031654210.0
RNN_Twice,2294386886000.0,2295008204720.0,2295835106840.0,2294985362120.0,2308439653520.0,1159509411500.0,1159517787120.0,1159513218600.0,2311524165940.0,1159500274460.0,1159516264280.0,1159516264280.0,2319041665600.0,1159516264280.0,1159517787120.0,1.0,28676600040.0,31031672100.0
UniTS,1138780911915.0,1134618677158.0,1135985660066.0,1138618442133.0,1181395503651.0,28676592541.0,28676600016.0,28676599572.0,1180068079740.0,28676577696.0,28676586940.0,28676599229.0,1176961685369.0,28676596413.0,28676599938.0,28676600040.0,1.0,1157132005645.0
actual,1136389156055.0,1132320259295.0,1133695391327.5,1136199217905.0,1185808507192.5,31031605012.5,31031654210.0,31031627375.0,1184443279157.5,31031551342.5,31031645265.0,31031645265.0,1181257951512.5,31031645265.0,31031654210.0,31031672100.0,1157132005645.0,1.0
