Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
GRU_Att_1,1.0,257.0,149.0,228.0,80.0,73.0,186.0,124.0,113.0,100.0,133.0,57.0,0.0,0.0,40.0,0.0,35.0
GRU_Att_2,257.0,1.0,205.0,299.0,117.0,95.0,217.0,165.0,148.0,129.0,175.0,70.0,4.0,0.0,46.0,0.0,58.0
GRU_Att_3,149.0,205.0,1.0,415.0,179.0,138.0,282.0,231.0,210.0,197.0,226.0,106.0,10.0,0.0,58.0,0.0,88.0
GRU_Att_4,228.0,299.0,415.0,1.0,120.0,102.0,223.0,167.0,141.0,139.0,168.0,75.0,2.0,0.0,49.0,0.0,61.0
GRU_Linear,80.0,117.0,179.0,120.0,1.0,276.0,380.0,362.0,326.0,322.0,365.0,158.0,27.0,27.0,130.0,3.0,297.0
GRU_Reference,73.0,95.0,138.0,102.0,276.0,1.0,409.0,404.0,353.0,354.0,416.0,164.0,23.0,31.0,146.0,4.0,390.0
GRU_Third,186.0,217.0,282.0,223.0,380.0,409.0,1.0,285.0,261.0,251.0,312.0,123.0,18.0,24.0,107.0,3.0,235.0
GRU_Twice,124.0,165.0,231.0,167.0,362.0,404.0,285.0,1.0,281.0,277.0,307.0,133.0,28.0,26.0,115.0,3.0,200.0
LSTM_Linear,113.0,148.0,210.0,141.0,326.0,353.0,261.0,281.0,1.0,308.0,358.0,148.0,35.0,31.0,138.0,6.0,290.0
LSTM_Reference,100.0,129.0,197.0,139.0,322.0,354.0,251.0,277.0,308.0,1.0,355.0,154.0,33.0,30.0,133.0,3.0,279.0
LSTM_Third,133.0,175.0,226.0,168.0,365.0,416.0,312.0,307.0,358.0,355.0,1.0,131.0,16.0,15.0,93.0,1.0,259.0
LSTM_Twice,57.0,70.0,106.0,75.0,158.0,164.0,123.0,133.0,148.0,154.0,131.0,1.0,281.0,277.0,388.0,180.0,460.0
RNN_Linear,0.0,4.0,10.0,2.0,27.0,23.0,18.0,28.0,35.0,33.0,16.0,281.0,1.0,291.0,502.0,148.0,605.0
RNN_Reference,0.0,0.0,0.0,0.0,27.0,31.0,24.0,26.0,31.0,30.0,15.0,277.0,291.0,1.0,509.0,164.0,614.0
RNN_Third,40.0,46.0,58.0,49.0,130.0,146.0,107.0,115.0,138.0,133.0,93.0,388.0,502.0,509.0,1.0,25.0,530.0
RNN_Twice,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,6.0,3.0,1.0,180.0,148.0,164.0,25.0,1.0,625.0
UniTS,35.0,58.0,88.0,61.0,297.0,390.0,235.0,200.0,290.0,279.0,259.0,460.0,605.0,614.0,530.0,625.0,1.0
