Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
GRU_Att_1,1.0,0.3721083307918155,0.0040837137563017,0.0078561483669862,1.4156562248495535e-09,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,1.4156562248495535e-09,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,1.4156562248495535e-09,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,1.4156562248495535e-09
GRU_Att_2,0.3721083307918155,1.0,0.0877382950621407,0.180636881610063,1.4156562248495535e-09,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,1.4156562248495535e-09,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,1.4156562248495535e-09,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,1.4156562248495535e-09
GRU_Att_3,0.0040837137563017,0.0877382950621407,1.0,0.7415144763294637,1.4156562248495535e-09,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,1.4156562248495535e-09,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,1.4156562248495535e-09,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,1.4156562248495535e-09
GRU_Att_4,0.0078561483669862,0.180636881610063,0.7415144763294637,1.0,1.4156562248495535e-09,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,1.4156562248495535e-09,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,1.4156562248495535e-09,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,1.4156562248495535e-09
GRU_Linear,1.4156562248495535e-09,1.4156562248495535e-09,1.4156562248495535e-09,1.4156562248495535e-09,1.0,0.5339732098499153,0.533785891261408,0.5338450687185792,0.7269006560784503,0.5340815550753022,0.5336872124367453,0.533785891261408,0.1301724240193804,0.533785891261408,0.533785891261408,0.5338746490608628,1.4156562248495535e-09
GRU_Reference,1.3274801791601042e-09,1.3274801791601042e-09,1.3274801791601042e-09,1.3274801791601042e-09,0.5339732098499153,1.0,0.8669294920626576,0.9136935894255136,0.9689924237011908,0.9843170014730218,0.8513702203068088,0.8669294920626576,0.1345044496973234,0.882506866952012,0.8980805498442047,0.913725506707786,1.3274801791601042e-09
GRU_Third,1.304733565122163e-09,1.304733565122163e-09,1.304733565122163e-09,1.304733565122163e-09,0.533785891261408,0.8669294920626576,1.0,0.9527643181356864,0.9689782276019688,0.7528670547920335,0.968449094404394,1.0,0.1343260541528015,1.0,1.0,0.905775622913472,1.304733565122163e-09
GRU_Twice,1.311878712762768e-09,1.311878712762768e-09,1.311878712762768e-09,1.311878712762768e-09,0.5338450687185792,0.9136935894255136,0.9527643181356864,1.0,0.968982712686923,0.8594430562145234,0.9291489997089484,0.9527643181356864,0.1343823962883796,0.9685126159717706,0.9685126159717706,0.9921317086851404,1.311878712762768e-09
LSTM_Linear,1.4156562248495535e-09,1.4156562248495535e-09,1.4156562248495535e-09,1.4156562248495535e-09,0.7269006560784503,0.9689924237011908,0.9689782276019688,0.968982712686923,1.0,0.9690006335929876,0.9689707481348252,0.9689782276019688,0.361803488317166,0.9689782276019688,0.9689782276019688,0.96898495450002,1.4156562248495535e-09
LSTM_Reference,1.3408109347366151e-09,1.3408109347366151e-09,1.3408109347366151e-09,1.3408109347366151e-09,0.5340815550753022,0.9843170014730218,0.7528670547920335,0.8594430562145234,0.9690006335929876,1.0,0.7379097485318288,0.7678545770342697,0.1346077029630802,0.7679992307160386,0.783065179801308,0.7981154587815373,1.3408109347366151e-09
LSTM_Third,1.2929023850985583e-09,1.2929023850985583e-09,1.2929023850985583e-09,1.2929023850985583e-09,0.5336872124367453,0.8513702203068088,0.968449094404394,0.9291489997089484,0.9689707481348252,0.7379097485318288,1.0,0.968449094404394,0.1342321368590471,0.968449094404394,0.968449094404394,0.8512790263977915,1.2929023850985583e-09
LSTM_Twice,1.304733565122163e-09,1.304733565122163e-09,1.304733565122163e-09,1.304733565122163e-09,0.533785891261408,0.8669294920626576,1.0,0.9527643181356864,0.9689782276019688,0.7678545770342697,0.968449094404394,1.0,0.1343260541528015,1.0,1.0,0.9214237279145966,1.304733565122163e-09
RNN_Linear,1.4156562248495535e-09,1.4156562248495535e-09,1.4156562248495535e-09,1.4156562248495535e-09,0.1301724240193804,0.1345044496973234,0.1343260541528015,0.1343823962883796,0.361803488317166,0.1346077029630802,0.1342321368590471,0.1343260541528015,1.0,0.1343260541528015,0.1343260541528015,0.1344105650373626,1.4156562248495535e-09
