Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
GRU_Att_1,1.0,205.0,118.0,146.0,362.0,0.0,0.0,0.0,395.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,505.0
GRU_Att_2,205.0,1.0,159.0,211.0,452.0,0.0,0.0,0.0,467.0,0.0,0.0,0.0,467.0,0.0,0.0,0.0,585.0
GRU_Att_3,118.0,159.0,1.0,365.0,514.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,528.0,0.0,0.0,0.0,600.0
GRU_Att_4,146.0,211.0,365.0,1.0,498.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,600.0
GRU_Linear,362.0,452.0,514.0,498.0,1.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0,346.0,0.0,0.0,0.0,502.0
GRU_Reference,0.0,0.0,0.0,0.0,0.0,1.0,312.5,312.5,625.0,312.5,312.5,312.5,625.0,312.5,312.5,312.5,625.0
GRU_Third,0.0,0.0,0.0,0.0,0.0,312.5,1.0,312.5,625.0,312.5,312.5,312.5,625.0,312.5,312.5,312.5,625.0
GRU_Twice,0.0,0.0,0.0,0.0,0.0,312.5,312.5,1.0,625.0,312.5,312.5,312.5,625.0,312.5,312.5,312.5,625.0
LSTM_Linear,395.0,467.0,520.0,502.0,341.0,625.0,625.0,625.0,1.0,0.0,0.0,0.0,323.0,0.0,0.0,0.0,475.0
LSTM_Reference,0.0,0.0,0.0,0.0,0.0,312.5,312.5,312.5,0.0,1.0,312.5,312.5,625.0,312.5,312.5,312.5,625.0
LSTM_Third,0.0,0.0,0.0,0.0,0.0,312.5,312.5,312.5,0.0,312.5,1.0,312.5,625.0,312.5,312.5,312.5,625.0
LSTM_Twice,0.0,0.0,0.0,0.0,0.0,312.5,312.5,312.5,0.0,312.5,312.5,1.0,625.0,312.5,312.5,312.5,625.0
RNN_Linear,392.0,467.0,528.0,506.0,346.0,625.0,625.0,625.0,323.0,625.0,625.0,625.0,1.0,0.0,0.0,0.0,490.0
RNN_Reference,0.0,0.0,0.0,0.0,0.0,312.5,312.5,312.5,0.0,312.5,312.5,312.5,0.0,1.0,312.5,312.5,625.0
RNN_Third,0.0,0.0,0.0,0.0,0.0,312.5,312.5,312.5,0.0,312.5,312.5,312.5,0.0,312.5,1.0,312.5,625.0
RNN_Twice,0.0,0.0,0.0,0.0,0.0,312.5,312.5,312.5,0.0,312.5,312.5,312.5,0.0,312.5,312.5,1.0,625.0
UniTS,505.0,585.0,600.0,600.0,502.0,625.0,625.0,625.0,475.0,625.0,625.0,625.0,490.0,625.0,625.0,625.0,1.0
