Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
GRU_Att_1,1.0,0.0179257773574064,0.0006850368653792,0.0001221531078416,0.4848629323784371,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,0.3825931773694824,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,0.1206076785909435,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,2.2121962704999198e-07
GRU_Att_2,0.0179257773574064,1.0,0.1870374933759154,0.017007269062083,7.508521207387563e-07,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,6.147258544333025e-07,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,6.795117843100685e-07,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,4.638138549093065e-09
GRU_Att_3,0.0006850368653792,0.1870374933759154,1.0,0.1870374933759154,2.285738709200976e-09,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,3.2613906321195843e-09,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,3.2613906321195843e-09,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,1.4156562248495535e-09
GRU_Att_4,0.0001221531078416,0.017007269062083,0.1870374933759154,1.0,1.5966671856908888e-09,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,1.4156562248495535e-09,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,1.5966671856908888e-09,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,1.4156562248495535e-09
GRU_Linear,0.4848629323784371,7.508521207387563e-07,2.285738709200976e-09,1.5966671856908888e-09,1.0,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,0.9073219836857066,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,0.3516793716607548,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,2.5742151889055173e-09
GRU_Reference,1.3274801791601042e-09,1.3274801791601042e-09,1.3274801791601042e-09,1.3274801791601042e-09,1.3274801791601042e-09,1.0,0.9449933863583124,0.992138726409081,1.3274801791601042e-09,0.968640061447734,0.9292770939773956,0.9449933863583124,1.3274801791601042e-09,0.8980805498442047,0.882506866952012,0.992141644923884,1.3274801791601042e-09
GRU_Third,1.304733565122163e-09,1.304733565122163e-09,1.304733565122163e-09,1.304733565122163e-09,1.304733565122163e-09,0.9449933863583124,1.0,0.9527643181356864,1.304733565122163e-09,0.9060098611975138,0.968449094404394,1.0,1.304733565122163e-09,0.9291648297771378,0.9291648297771378,0.905775622913472,1.304733565122163e-09
GRU_Twice,1.311878712762768e-09,1.311878712762768e-09,1.311878712762768e-09,1.311878712762768e-09,1.311878712762768e-09,0.992138726409081,0.9527643181356864,1.0,1.311878712762768e-09,1.0,0.9291489997089484,0.9527643181356864,1.311878712762768e-09,0.890115221138906,0.890115221138906,0.9921317086851404,1.311878712762768e-09
LSTM_Linear,0.3825931773694824,6.147258544333025e-07,3.2613906321195843e-09,1.4156562248495535e-09,0.9073219836857066,1.3274801791601042e-09,1.304733565122163e-09,1.311878712762768e-09,1.0,1.3408109347366151e-09,1.2929023850985583e-09,1.304733565122163e-09,0.4040992479205485,1.304733565122163e-09,1.304733565122163e-09,1.315464406929832e-09,1.4156562248495535e-09
LSTM_Reference,1.3408109347366151e-09,1.3408109347366151e-09,1.3408109347366151e-09,1.3408109347366151e-09,1.3408109347366151e-09,0.968640061447734,0.9060098611975138,1.0,1.3408109347366151e-09,1.0,0.8904097060507938,0.9216193437268848,1.3408109347366151e-09,0.8595116908468964,0.8440920513852234,0.9372683548999132,1.3408109347366151e-09
