Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
GRU_Att_1,1.0,329.0,294.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU_Att_2,329.0,1.0,283.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU_Att_3,294.0,283.0,1.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU_Att_4,329.0,319.0,358.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU_Linear,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,389.0,0.0,0.0,0.0,347.0,0.0,0.0,0.0,625.0
GRU_Reference,0.0,0.0,0.0,0.0,0.0,1.0,292.5,292.5,625.0,302.0,284.5,294.5,625.0,304.0,282.0,285.0,625.0
GRU_Third,0.0,0.0,0.0,0.0,0.0,292.5,1.0,314.5,625.0,321.5,306.5,313.0,625.0,325.0,303.0,304.0,625.0
GRU_Twice,0.0,0.0,0.0,0.0,0.0,292.5,314.5,1.0,625.0,321.5,300.0,311.0,625.0,319.5,297.0,299.5,625.0
LSTM_Linear,0.0,0.0,0.0,0.0,389.0,625.0,625.0,625.0,1.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,625.0
LSTM_Reference,0.0,0.0,0.0,0.0,0.0,302.0,321.5,321.5,0.0,1.0,297.0,302.5,625.0,313.0,292.0,295.0,625.0
LSTM_Third,0.0,0.0,0.0,0.0,0.0,284.5,306.5,300.0,0.0,297.0,1.0,321.0,625.0,329.0,310.0,308.0,625.0
LSTM_Twice,0.0,0.0,0.0,0.0,0.0,294.5,313.0,311.0,0.0,302.5,321.0,1.0,625.0,321.5,300.5,302.0,625.0
RNN_Linear,0.0,0.0,0.0,0.0,347.0,625.0,625.0,625.0,263.0,625.0,625.0,625.0,1.0,0.0,0.0,0.0,625.0
RNN_Reference,0.0,0.0,0.0,0.0,0.0,304.0,325.0,319.5,0.0,313.0,329.0,321.5,0.0,1.0,292.0,294.0,625.0
RNN_Third,0.0,0.0,0.0,0.0,0.0,282.0,303.0,297.0,0.0,292.0,310.0,300.5,0.0,292.0,1.0,311.0,625.0
RNN_Twice,0.0,0.0,0.0,0.0,0.0,285.0,304.0,299.5,0.0,295.0,308.0,302.0,0.0,294.0,311.0,1.0,625.0
UniTS,0.0,0.0,0.0,0.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,1.0
