Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
GRU_Att_1,1.0,52.0,89.0,49.0,44.0,35.0,54.0,48.0,63.0,58.0,35.0,39.0,53.0,39.0,37.0,5.0,48.0
GRU_Att_2,52.0,1.0,13.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0
GRU_Att_3,89.0,13.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0
GRU_Att_4,49.0,110.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
GRU_Linear,44.0,0.0,1.0,0.0,1.0,122.0,160.0,130.0,100.0,102.0,162.0,124.0,148.0,126.0,148.0,47.0,0.0
GRU_Reference,35.0,0.0,0.0,0.0,122.0,1.0,118.0,137.0,143.0,122.0,135.0,141.0,148.0,110.0,111.0,34.0,0.0
GRU_Third,54.0,0.0,1.0,0.0,160.0,118.0,1.0,116.0,106.0,101.0,138.0,136.0,149.0,135.0,153.0,30.0,0.0
GRU_Twice,48.0,0.0,1.0,0.0,130.0,137.0,116.0,1.0,151.0,132.0,149.0,151.0,159.0,112.0,158.0,27.0,0.0
LSTM_Linear,63.0,0.0,1.0,0.0,100.0,143.0,106.0,151.0,1.0,156.0,122.0,128.0,128.0,78.0,127.0,20.0,0.0
LSTM_Reference,58.0,0.0,1.0,0.0,102.0,122.0,101.0,132.0,156.0,1.0,117.0,141.0,128.0,71.0,129.0,28.0,0.0
LSTM_Third,35.0,0.0,1.0,0.0,162.0,135.0,138.0,149.0,122.0,117.0,1.0,146.0,150.0,131.0,145.0,28.0,0.0
LSTM_Twice,39.0,0.0,1.0,0.0,124.0,141.0,136.0,151.0,128.0,141.0,146.0,1.0,144.0,132.0,155.0,46.0,0.0
RNN_Linear,53.0,0.0,1.0,0.0,148.0,148.0,149.0,159.0,128.0,128.0,150.0,144.0,1.0,130.0,142.0,30.0,0.0
RNN_Reference,39.0,0.0,0.0,0.0,126.0,110.0,135.0,112.0,78.0,71.0,131.0,132.0,130.0,1.0,127.0,54.0,0.0
RNN_Third,37.0,0.0,1.0,0.0,148.0,111.0,153.0,158.0,127.0,129.0,145.0,155.0,142.0,127.0,1.0,51.0,0.0
RNN_Twice,5.0,0.0,1.0,0.0,47.0,34.0,30.0,27.0,20.0,28.0,28.0,46.0,30.0,54.0,51.0,1.0,0.0
UniTS,48.0,153.0,8.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
