Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
GRU_Att_1,1.0,158.0,73.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU_Att_2,158.0,1.0,109.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU_Att_3,73.0,109.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU_Att_4,154.0,157.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU_Linear,0.0,0.0,0.0,0.0,1.0,58.0,58.0,58.0,162.0,58.0,58.0,58.0,103.0,58.0,58.0,58.0,0.0
GRU_Reference,0.0,0.0,0.0,0.0,58.0,1.0,0.0,3.0,52.0,22.0,9.0,10.0,47.0,9.0,0.0,0.0,0.0
GRU_Third,0.0,0.0,0.0,0.0,58.0,0.0,1.0,4.0,52.0,0.0,0.0,3.0,47.0,2.0,0.0,0.0,0.0
GRU_Twice,0.0,0.0,0.0,0.0,58.0,3.0,4.0,1.0,52.0,5.0,7.0,7.0,47.0,7.0,4.0,0.0,0.0
LSTM_Linear,0.0,0.0,0.0,0.0,162.0,52.0,52.0,52.0,1.0,52.0,52.0,52.0,105.0,52.0,52.0,52.0,0.0
LSTM_Reference,0.0,0.0,0.0,0.0,58.0,22.0,0.0,5.0,52.0,1.0,13.0,2.0,47.0,11.0,0.0,0.0,0.0
LSTM_Third,0.0,0.0,0.0,0.0,58.0,9.0,0.0,7.0,52.0,13.0,1.0,4.0,47.0,1.0,0.0,0.0,0.0
LSTM_Twice,0.0,0.0,0.0,0.0,58.0,10.0,3.0,7.0,52.0,2.0,4.0,1.0,47.0,4.0,3.0,0.0,0.0
RNN_Linear,0.0,0.0,0.0,0.0,103.0,47.0,47.0,47.0,105.0,47.0,47.0,47.0,1.0,47.0,47.0,47.0,0.0
RNN_Reference,0.0,0.0,0.0,0.0,58.0,9.0,2.0,7.0,52.0,11.0,1.0,4.0,47.0,1.0,2.0,0.0,0.0
RNN_Third,0.0,0.0,0.0,0.0,58.0,0.0,0.0,4.0,52.0,0.0,0.0,3.0,47.0,2.0,1.0,0.0,0.0
RNN_Twice,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,47.0,0.0,0.0,1.0,0.0
UniTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
