Compare,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
GRU_Att_1,1.0,105.0,120.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
GRU_Att_2,105.0,1.0,158.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
GRU_Att_3,120.0,158.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
GRU_Att_4,84.0,22.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0
GRU_Linear,0.0,0.0,0.0,0.0,1.0,123.0,153.0,137.0,126.0,92.0,102.0,75.0,65.0,9.0,85.0,1.0,0.0
GRU_Reference,0.0,0.0,0.0,0.0,123.0,1.0,157.0,136.0,162.0,127.0,144.0,89.0,69.0,19.0,112.0,7.0,0.0
GRU_Third,0.0,0.0,0.0,0.0,153.0,157.0,1.0,155.0,159.0,122.0,138.0,90.0,70.0,27.0,127.0,10.0,0.0
GRU_Twice,0.0,0.0,0.0,0.0,137.0,136.0,155.0,1.0,152.0,121.0,145.0,92.0,98.0,18.0,115.0,0.0,0.0
LSTM_Linear,0.0,0.0,0.0,0.0,126.0,162.0,159.0,152.0,1.0,123.0,152.0,96.0,74.0,17.0,104.0,3.0,0.0
LSTM_Reference,0.0,0.0,0.0,0.0,92.0,127.0,122.0,121.0,123.0,1.0,152.0,109.0,93.0,26.0,162.0,4.0,0.0
LSTM_Third,0.0,0.0,0.0,0.0,102.0,144.0,138.0,145.0,152.0,152.0,1.0,109.0,88.0,31.0,150.0,4.0,0.0
LSTM_Twice,0.0,0.0,0.0,0.0,75.0,89.0,90.0,92.0,96.0,109.0,109.0,1.0,108.0,51.0,144.0,5.0,0.0
RNN_Linear,0.0,0.0,0.0,0.0,65.0,69.0,70.0,98.0,74.0,93.0,88.0,108.0,1.0,108.0,122.0,45.0,0.0
RNN_Reference,0.0,0.0,0.0,0.0,9.0,19.0,27.0,18.0,17.0,26.0,31.0,51.0,108.0,1.0,40.0,94.0,0.0
RNN_Third,0.0,0.0,0.0,0.0,85.0,112.0,127.0,115.0,104.0,162.0,150.0,144.0,122.0,40.0,1.0,1.0,1.0
RNN_Twice,0.0,0.0,0.0,0.0,1.0,7.0,10.0,0.0,3.0,4.0,4.0,5.0,45.0,94.0,1.0,1.0,0.0
UniTS,105.0,33.0,28.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
